Domain,Area Code,Area,Element,Item Code,Item,Year Code,Unit,Value,Flag Description
Fertilizers,74,Gabon,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,3.55,Calculated data
Fertilizers,74,Gabon,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,4.73,Calculated data
Fertilizers,75,Gambia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,0.52,Calculated data
Fertilizers,75,Gambia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,0.22,Calculated data
Fertilizers,75,Gambia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.28,Calculated data
Fertilizers,73,Georgia,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,94.24,Calculated data
Fertilizers,73,Georgia,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,6.9,Calculated data
Fertilizers,73,Georgia,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.53,Calculated data
Fertilizers,79,Germany,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,141.91,Calculated data
Fertilizers,79,Germany,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,23.87,Calculated data
Fertilizers,79,Germany,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,33,Calculated data
Fertilizers,81,Ghana,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,7.21,Calculated data
Fertilizers,81,Ghana,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,5.07,Calculated data
Fertilizers,81,Ghana,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,2.82,Calculated data
Fertilizers,84,Greece,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,52.78,Calculated data
Fertilizers,84,Greece,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,15.17,Calculated data
